temperature_k,pressure_kpa,smiles1,x_alpha_1,x_beta_1,smiles2,x_alpha_2,x_beta_2,doi,source_url,source_dataset,source_point,source_excel_row
293.12,2506.0,C(C(F)(F)F)(F)(F)F,0.341,0.793,CCCCC=C,0.659,0.20699999999999996,10.1016/j.jct.2017.12.002,https://trc.nist.gov/ThermoML/10.1016/j.jct.2017.12.002.json,"[10, 11]","[0, 0]",2
303.13,3023.0,C(C(F)(F)F)(F)(F)F,0.423,0.749,CCCCC=C,0.577,0.251,10.1016/j.jct.2017.12.002,https://trc.nist.gov/ThermoML/10.1016/j.jct.2017.12.002.json,"[10, 11]","[1, 1]",3
333.15,100.0,CC(C)CC(=O)C,0.8109,0.0023,O,0.18910000000000005,0.9977,10.1016/j.fluid.2016.11.005,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2016.11.005.json,"[4, 3]","[0, 0]",4
343.15,100.0,CC(C)CC(=O)C,0.741,0.0022,O,0.259,0.9978,10.1016/j.fluid.2016.11.005,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2016.11.005.json,"[4, 3]","[1, 1]",5
353.15,100.0,CC(C)CC(=O)C,0.6924,0.0019,O,0.3076,0.9981,10.1016/j.fluid.2016.11.005,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2016.11.005.json,"[4, 3]","[2, 2]",6
288.15,101.0,CC(C)OC(C)C,0.9758,0.0012,O,0.0242,0.9988,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[0, 0]",7
293.15,101.0,CC(C)OC(C)C,0.973,0.0016,O,0.027000000000000024,0.9984,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[1, 1]",8
298.15,101.0,CC(C)OC(C)C,0.9709,0.0018,O,0.029100000000000015,0.9982,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[2, 2]",9
303.15,101.0,CC(C)OC(C)C,0.9668,0.0023,O,0.03320000000000001,0.9977,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[3, 3]",10
308.15,101.0,CC(C)OC(C)C,0.9634,0.0025,O,0.036599999999999966,0.9975,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[4, 4]",11
313.15,101.0,CC(C)OC(C)C,0.9612,0.0028,O,0.038799999999999946,0.9972,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[5, 5]",12
318.15,101.0,CC(C)OC(C)C,0.9545,0.0035,O,0.045499999999999985,0.9965,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[6, 6]",13
323.15,101.0,CC(C)OC(C)C,0.949,0.0049,O,0.051000000000000045,0.9951,10.1016/j.fluid.2008.04.010,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2008.04.010.json,"[7, 8]","[7, 7]",14
283.2,101.3,O,0.242,0.999,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.758,0.0010000000000000009,10.1016/j.jct.2017.11.006,https://trc.nist.gov/ThermoML/10.1016/j.jct.2017.11.006.json,"[3, 2]","[0, 0]",15
303.2,101.3,O,0.331,0.999,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.669,0.0010000000000000009,10.1016/j.jct.2017.11.006,https://trc.nist.gov/ThermoML/10.1016/j.jct.2017.11.006.json,"[3, 2]","[1, 1]",16
323.2,101.3,O,0.42,0.999,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5800000000000001,0.0010000000000000009,10.1016/j.jct.2017.11.006,https://trc.nist.gov/ThermoML/10.1016/j.jct.2017.11.006.json,"[3, 2]","[2, 2]",17
272.87,2324.0,C(F)(F)F,0.444,0.873,CCCCCC,0.556,0.127,10.1016/j.jct.2015.10.009,https://trc.nist.gov/ThermoML/10.1016/j.jct.2015.10.009.json,"[10, 11]","[0, 0]",18
307.86,101.33,C(CO)O,0.003600000000000048,0.9742,CC1=CC=CC=C1,0.9964,0.025800000000000045,10.1016/j.fluid.2014.11.012,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.012.json,"[0, 1]","[0, 0]",19
320.94,101.33,C(CO)O,0.008499999999999952,0.9711,CC1=CC=CC=C1,0.9915,0.028900000000000037,10.1016/j.fluid.2014.11.012,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.012.json,"[0, 1]","[1, 1]",20
333.64,101.33,C(CO)O,0.009299999999999975,0.9695,CC1=CC=CC=C1,0.9907,0.03049999999999997,10.1016/j.fluid.2014.11.012,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.012.json,"[0, 1]","[2, 2]",21
344.14,101.33,C(CO)O,0.01160000000000005,0.9628,CC1=CC=CC=C1,0.9884,0.03720000000000001,10.1016/j.fluid.2014.11.012,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.012.json,"[0, 1]","[3, 3]",22
