temperature_k,pressure_kpa,smiles1,x_alpha_1,x_beta_1,smiles2,x_alpha_2,x_beta_2,smiles3,x_alpha_3,x_beta_3,doi,source_url,source_dataset,source_point,source_excel_row
298.15,101.0,CC(C)O,0.0247,0.0045,CC(C)CO,0.5026,0.0107,O,0.4726999999999999,0.9848,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,0,2
298.15,101.0,CC(C)O,0.0408,0.0076,CC(C)CO,0.4829,0.0111,O,0.47629999999999995,0.9813,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,1,3
298.15,101.0,CC(C)O,0.0644,0.0126,CC(C)CO,0.4536,0.0117,O,0.482,0.9757,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,2,4
298.15,101.0,CC(C)O,0.0797,0.0161,CC(C)CO,0.4341,0.0121,O,0.48619999999999997,0.9718,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,3,5
298.15,101.0,CC(C)O,0.0947,0.0198,CC(C)CO,0.4148,0.0125,O,0.49049999999999994,0.9677,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,4,6
298.15,101.0,CC(C)O,0.1164,0.0257,CC(C)CO,0.3857,0.0132,O,0.4979,0.9611,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,5,7
298.15,101.0,CC(C)O,0.1304,0.0298,CC(C)CO,0.3665,0.0138,O,0.5031,0.9564,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,6,8
298.15,101.0,CC(C)O,0.1506,0.0366,CC(C)CO,0.3379,0.0146,O,0.5115000000000001,0.9488,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,7,9
298.15,101.0,CC(C)O,0.1634,0.0414,CC(C)CO,0.3186,0.0153,O,0.518,0.9433,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,8,10
298.15,101.0,CC(C)O,0.1817,0.0493,CC(C)CO,0.2902,0.0164,O,0.5281,0.9343,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,9,11
298.15,101.0,CC(C)O,0.1985,0.0582,CC(C)CO,0.2619,0.0177,O,0.5396,0.9241,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,10,12
298.15,101.0,CC(C)O,0.2087,0.0646,CC(C)CO,0.2427,0.0187,O,0.5486,0.9167,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,11,13
323.15,101.0,CC(C)O,0.0259,0.0039,CC(C)CO,0.4942,0.0163,O,0.4799,0.9798,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,12,14
323.15,101.0,CC(C)O,0.0427,0.0067,CC(C)CO,0.4738,0.0165,O,0.48350000000000004,0.9768,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,13,15
323.15,101.0,CC(C)O,0.0592,0.0096,CC(C)CO,0.4534,0.0168,O,0.48739999999999994,0.9736,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,14,16
323.15,101.0,CC(C)O,0.0832,0.0142,CC(C)CO,0.4232,0.0172,O,0.49360000000000004,0.9686,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,15,17
323.15,101.0,CC(C)O,0.0988,0.0174,CC(C)CO,0.4032,0.0174,O,0.498,0.9652000000000001,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,16,18
323.15,101.0,CC(C)O,0.1214,0.0226,CC(C)CO,0.3733,0.0179,O,0.5053,0.9595,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,17,19
323.15,101.0,CC(C)O,0.143,0.0282,CC(C)CO,0.3439,0.0184,O,0.5131,0.9534,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,18,20
323.15,101.0,CC(C)O,0.1567,0.0322,CC(C)CO,0.3243,0.0187,O,0.519,0.9491,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,19,21
323.15,101.0,CC(C)O,0.1764,0.0387,CC(C)CO,0.2953,0.0193,O,0.5283,0.942,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,20,22
323.15,101.0,CC(C)O,0.1888,0.0435,CC(C)CO,0.2762,0.0197,O,0.535,0.9368,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,21,23
323.15,101.0,CC(C)O,0.2061,0.0512,CC(C)CO,0.2476,0.0203,O,0.5463,0.9285,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,22,24
323.15,101.0,CC(C)O,0.2167,0.057,CC(C)CO,0.2288,0.0209,O,0.5545,0.9221,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,23,25
348.15,101.0,CC(C)O,0.0265,0.0036,CC(C)CO,0.4806,0.0238,O,0.4929,0.9726,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,24,26
348.15,101.0,CC(C)O,0.0437,0.0061,CC(C)CO,0.4596,0.0238,O,0.49670000000000003,0.9701,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,25,27
348.15,101.0,CC(C)O,0.0605,0.0088,CC(C)CO,0.4388,0.0238,O,0.5006999999999999,0.9674,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,26,28
348.15,101.0,CC(C)O,0.085,0.0129,CC(C)CO,0.4078,0.0238,O,0.5072,0.9633,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,27,29
348.15,101.0,CC(C)O,0.1008,0.0159,CC(C)CO,0.3874,0.0238,O,0.5118,0.9603,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,28,30
348.15,101.0,CC(C)O,0.1237,0.0205,CC(C)CO,0.3574,0.0237,O,0.5189,0.9558,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,29,31
348.15,101.0,CC(C)O,0.1454,0.0256,CC(C)CO,0.3277,0.0237,O,0.5269,0.9507,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,30,32
348.15,101.0,CC(C)O,0.1594,0.0291,CC(C)CO,0.3083,0.0237,O,0.5323,0.9472,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,31,33
348.15,101.0,CC(C)O,0.1792,0.0349,CC(C)CO,0.2796,0.0236,O,0.5412,0.9415,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,32,34
348.15,101.0,CC(C)O,0.1918,0.0391,CC(C)CO,0.2608,0.0236,O,0.5474,0.9373,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,33,35
348.15,101.0,CC(C)O,0.2201,0.0508,CC(C)CO,0.2146,0.0234,O,0.5653,0.9258,10.1016/j.fluid.2012.11.040,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2012.11.040.json,12,34,36
308.15,101.0,CC(=O)O,0.0,0.0,CCCCO,0.017,0.476,O,0.983,0.524,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,0,37
308.15,101.0,CC(=O)O,0.009,0.017,CCCCO,0.017,0.414,O,0.974,0.569,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,1,38
308.15,101.0,CC(=O)O,0.019,0.043,CCCCO,0.023,0.356,O,0.958,0.601,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,2,39
308.15,101.0,CC(=O)O,0.029,0.064,CCCCO,0.029,0.294,O,0.942,0.642,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,3,40
308.15,101.0,CC(=O)O,0.032,0.07,CCCCO,0.037,0.273,O,0.931,0.657,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,4,41
308.15,101.0,CC(=O)O,0.04,0.078,CCCCO,0.046,0.225,O,0.914,0.6970000000000001,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,5,42
308.15,101.0,CC(=O)O,0.048,0.079,CCCCO,0.06,0.181,O,0.892,0.74,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,0,6,43
308.15,101.0,CC(=O)O,0.0,0.0,CCCCOC(C)=O,0.001,0.923,O,0.999,0.07699999999999996,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,0,44
308.15,101.0,CC(=O)O,0.142,0.282,CCCCOC(C)=O,0.008,0.312,O,0.85,0.406,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,1,45
308.15,101.0,CC(=O)O,0.161,0.29,CCCCOC(C)=O,0.012,0.26,O,0.827,0.44999999999999996,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,2,46
308.15,101.0,CC(=O)O,0.181,0.291,CCCCOC(C)=O,0.02,0.203,O,0.799,0.506,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,3,47
308.15,101.0,CC(=O)O,0.206,0.275,CCCCOC(C)=O,0.04,0.139,O,0.754,0.586,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,4,48
308.15,101.0,CC(=O)O,0.009,0.027,CCCCOC(C)=O,0.001,0.857,O,0.99,0.11599999999999999,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,5,49
308.15,101.0,CC(=O)O,0.02,0.061,CCCCOC(C)=O,0.001,0.798,O,0.979,0.14100000000000001,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,6,50
308.15,101.0,CC(=O)O,0.036,0.104,CCCCOC(C)=O,0.002,0.72,O,0.962,0.17600000000000005,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,7,51
308.15,101.0,CC(=O)O,0.053,0.15,CCCCOC(C)=O,0.001,0.644,O,0.946,0.20599999999999996,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,8,52
308.15,101.0,CC(=O)O,0.069,0.188,CCCCOC(C)=O,0.002,0.568,O,0.929,0.244,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,9,53
308.15,101.0,CC(=O)O,0.089,0.224,CCCCOC(C)=O,0.003,0.492,O,0.908,0.28400000000000003,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,10,54
308.15,101.0,CC(=O)O,0.105,0.248,CCCCOC(C)=O,0.004,0.421,O,0.891,0.33099999999999996,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,11,55
308.15,101.0,CC(=O)O,0.126,0.27,CCCCOC(C)=O,0.006,0.357,O,0.868,0.373,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,2,12,56
308.15,101.0,CCCCO,0.001,0.042,CCCCOC(C)=O,0.001,0.871,O,0.998,0.08699999999999997,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,0,57
308.15,101.0,CCCCO,0.01,0.357,CCCCOC(C)=O,0.001,0.308,O,0.989,0.33499999999999996,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,1,58
308.15,101.0,CCCCO,0.012,0.397,CCCCOC(C)=O,0.001,0.223,O,0.987,0.38,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,2,59
308.15,101.0,CCCCO,0.014,0.425,CCCCOC(C)=O,0.001,0.155,O,0.985,0.42000000000000004,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,3,60
308.15,101.0,CCCCO,0.016,0.457,CCCCOC(C)=O,0.0,0.067,O,0.984,0.476,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,4,61
308.15,101.0,CCCCO,0.002,0.083,CCCCOC(C)=O,0.001,0.806,O,0.997,0.11099999999999999,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,5,62
308.15,101.0,CCCCO,0.002,0.118,CCCCOC(C)=O,0.001,0.75,O,0.997,0.132,10.1016/j.fluid.2014.11.004,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2014.11.004.json,4,6,63
