component_1_original_name,component_1_formula,smiles1,component_2_original_name,component_2_formula,smiles2,quality_check_1,quality_check_2,pressure_mmhg,temperature_c,x1,y1,doi,original_excel_row,quarantine_reason
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,75.6,0.92,0.9282,10.1016/j.fluid.2012.12.035,1345,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,75.8,0.8424,0.8592,10.1016/j.fluid.2012.12.035,1346,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,76.2,0.7352,0.7629,10.1016/j.fluid.2012.12.035,1347,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,76.2,0.7346,0.7624,10.1016/j.fluid.2012.12.035,1348,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,76.6,0.6357,0.6714,10.1016/j.fluid.2012.12.035,1349,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,76.9,0.5813,0.6211,10.1016/j.fluid.2012.12.035,1350,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,77.1,0.5413,0.5838,10.1016/j.fluid.2012.12.035,1351,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,77.3,0.4956,0.54,10.1016/j.fluid.2012.12.035,1352,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,77.7,0.4046,0.4513,10.1016/j.fluid.2012.12.035,1353,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,78.1,0.3052,0.3499,10.1016/j.fluid.2012.12.035,1354,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,78.4,0.2556,0.2985,10.1016/j.fluid.2012.12.035,1355,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,78.9,0.163,0.1975,10.1016/j.fluid.2012.12.035,1356,unmatched
"3,7-二甲基-1,6-辛二烯",C10H18,CC(CCC=C(C)C)C=C,"(1S,2S,5R)-蒎烷",C10H18,,-1,-1,45.004,79.5,0.0519,0.0666,10.1016/j.fluid.2012.12.035,1357,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,80.8,0.8983,0.9574,10.1016/j.fluid.2012.12.035,1371,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,81.5,0.839,0.9361,10.1016/j.fluid.2012.12.035,1372,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,81.8,0.8079,0.9263,10.1016/j.fluid.2012.12.035,1373,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,82.3,0.7712,0.9161,10.1016/j.fluid.2012.12.035,1374,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,82.7,0.7298,0.9093,10.1016/j.fluid.2012.12.035,1375,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,83.3,0.6934,0.8972,10.1016/j.fluid.2012.12.035,1376,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,83.9,0.6447,0.8831,10.1016/j.fluid.2012.12.035,1377,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,84.7,0.6,0.8691,10.1016/j.fluid.2012.12.035,1378,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,86.0,0.5393,0.8503,10.1016/j.fluid.2012.12.035,1379,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,87.0,0.4953,0.8327,10.1016/j.fluid.2012.12.035,1380,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,89.4,0.4026,0.7922,10.1016/j.fluid.2012.12.035,1381,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,90.7,0.3499,0.7582,10.1016/j.fluid.2012.12.035,1382,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,92.7,0.3095,0.7251,10.1016/j.fluid.2012.12.035,1383,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,95.2,0.254,0.6695,10.1016/j.fluid.2012.12.035,1384,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,100.0,0.1611,0.5227,10.1016/j.fluid.2012.12.035,1385,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,106.3,0.0737,0.3051,10.1016/j.fluid.2012.12.035,1386,unmatched
"(1S,2S,5R)-蒎烷",C10H18,,"2,6-二甲基-7-辛烯-2-醇",C10H20O,CC(CCCC(C)(C)O)C=C,-1,-1,45.004,109.9,0.0288,0.1378,10.1016/j.fluid.2012.12.035,1387,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,110.5,0.124,0.306,10.1016/j.jct.2015.08.015,5381,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,106.1,0.22,0.445,10.1016/j.jct.2015.08.015,5382,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,104.4,0.294,0.504,10.1016/j.jct.2015.08.015,5383,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,101.7,0.401,0.61,10.1016/j.jct.2015.08.015,5384,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,100.2,0.484,0.65,10.1016/j.jct.2015.08.015,5385,unmatched
4-乙烯基环己烯,C8H12,C=CC1CCC=CC1,3-戊烯腈,C5H7N,C/C=C/CC#N,-1,-1,375.031,99.4,0.601,0.686,10.1016/j.jct.2015.08.015,5386,unmatched
