component_1_original_name,component_1_formula,smiles1,component_2_original_name,component_2_formula,smiles2,component_3_original_name,component_3_formula,smiles3,quality_check_1,quality_check_2,pressure_mmhg,temperature_c,x1,x2,y1,y2,doi,source_original_excel_row,source_audit_status,source_url,source_json_sha256,source_indices,source_temperature_k,source_pressure_kpa,source_component_InChIKeys
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,15188.749122727853,41.02000000000004,0.7588,0.1854,0.0117,0.9869,10.1016/j.fluid.2004.11.018,2,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 0]]",314.17,2025.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,22366.839448876275,41.02000000000004,0.6834,0.2668,0.0084,0.9906,10.1016/j.fluid.2004.11.018,3,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 1]]",314.17,2982.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,38073.13113430449,41.02000000000004,0.4737,0.4911,0.0089,0.9901,10.1016/j.fluid.2004.11.018,4,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 2]]",314.17,5076.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,41560.917969893846,41.02000000000004,0.4173,0.551,0.0092,0.9898,10.1016/j.fluid.2004.11.018,5,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 3]]",314.17,5541.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,17708.956384573066,41.170000000000016,0.7874,0.1876,0.0149,0.9841,10.1016/j.fluid.2004.11.018,6,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 4]]",314.32,2361.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,25164.569534198494,41.170000000000016,0.671,0.2951,0.011,0.987,10.1016/j.fluid.2004.11.018,7,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 5]]",314.32,3355.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,32890.20489045019,41.170000000000016,0.5456,0.4113,0.0099,0.9883,10.1016/j.fluid.2004.11.018,8,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 6]]",314.32,4385.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,44411.15237317117,41.170000000000016,0.3123,0.6394,0.0108,0.987,10.1016/j.fluid.2004.11.018,9,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 7]]",314.32,5921.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,48176.462032237534,41.170000000000016,0.214,0.7376,0.0114,0.9864,10.1016/j.fluid.2004.11.018,10,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 8]]",314.32,6423.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
噻吩,C4H4S,C1=CSC=C1,二氧化碳,CO2,C(=O)=O,1-丙醇,C3H8O,CCCO,-1,-1,50059.116861770715,41.170000000000016,0.1674,0.7862,0.0115,0.986,10.1016/j.fluid.2004.11.018,11,verified,https://trc.nist.gov/ThermoML/10.1016/j.fluid.2004.11.018.json,870b7265e0f1bbb28ebc7af15eb582fdd7e9071c4b500755e84f8507b44b837a,"[[4, 9]]",314.32,6674.0,"[""YTPLMLYBLZKORZ-UHFFFAOYSA-N"", ""CURLTUGMZLYLDI-UHFFFAOYSA-N"", ""BDERNNFJNOPAEC-UHFFFAOYSA-N""]"
