pressure_kPa,x_1_chlorobutane,T_experiment_C,T_thermoformer_C,y_1_chlorobutane_experiment,y_1_chlorobutane_thermoformer,abs_temperature_error_C,abs_y_error
53.300,0.0000,60.81,60.3578,0.0000,0.0000,0.4522,0.0000
53.300,0.0490,60.25,59.7277,0.0714,0.0679,0.5223,0.0035
53.300,0.1020,59.67,59.1682,0.1385,0.1336,0.5018,0.0049
53.300,0.1516,59.19,58.7389,0.1940,0.1894,0.4511,0.0046
53.300,0.2096,58.84,58.3326,0.2568,0.2495,0.5074,0.0073
53.300,0.2903,58.35,57.9089,0.3232,0.3263,0.4411,0.0031
53.300,0.3461,58.10,57.6972,0.3794,0.3762,0.4028,0.0032
53.300,0.4663,57.72,57.4312,0.4787,0.4788,0.2888,0.0001
53.300,0.5218,57.59,57.3885,0.5241,0.5253,0.2015,0.0012
53.300,0.5772,57.67,57.3938,0.5756,0.5719,0.2762,0.0037
53.300,0.6404,57.64,57.4582,0.6121,0.6260,0.1818,0.0139
53.300,0.7010,57.82,57.5802,0.6763,0.6796,0.2398,0.0033
53.300,0.7660,58.01,57.7806,0.7416,0.7399,0.2294,0.0017
53.300,0.8369,58.20,58.0904,0.8092,0.8101,0.1096,0.0009
53.300,0.8964,58.58,58.4322,0.8765,0.8739,0.1478,0.0026
53.300,0.9513,58.85,58.8245,0.9392,0.9380,0.0255,0.0012
53.300,1.0000,59.13,59.2436,1.0000,1.0000,0.1136,0.0000
80.000,0.0000,72.98,73.0146,0.0000,0.0000,0.0346,0.0000
80.000,0.0534,72.37,72.2158,0.0684,0.0755,0.1542,0.0071
80.000,0.1017,71.81,71.6198,0.1385,0.1364,0.1902,0.0021
80.000,0.1532,71.26,71.0919,0.1987,0.1953,0.1681,0.0034
80.000,0.2118,70.75,70.6029,0.2517,0.2567,0.1471,0.0050
80.000,0.2842,70.28,70.1342,0.3255,0.3264,0.1458,0.0009
80.000,0.3446,69.99,69.8396,0.3816,0.3809,0.1504,0.0007
80.000,0.4704,69.62,69.4617,0.4885,0.4883,0.1583,0.0002
80.000,0.5183,69.61,69.3928,0.5317,0.5283,0.2172,0.0034
80.000,0.6213,69.54,69.3769,0.6172,0.6148,0.1631,0.0024
80.000,0.7109,69.67,69.5112,0.6798,0.6930,0.1588,0.0132
80.000,0.7703,69.83,69.6817,0.7382,0.7476,0.1483,0.0094
80.000,0.8300,69.89,69.9253,0.8041,0.8058,0.0353,0.0017
80.000,0.8946,70.39,70.2808,0.8796,0.8736,0.1092,0.0060
80.000,0.9526,70.70,70.6941,0.9399,0.9403,0.0059,0.0004
80.000,1.0000,70.99,71.1088,1.0000,1.0000,0.1188,0.0000
101.300,0.0000,80.58,80.8234,0.0000,0.0000,0.2434,0.0000
101.300,0.0496,79.99,80.0069,0.0717,0.0714,0.0169,0.0003
101.300,0.1005,79.39,79.3117,0.1413,0.1367,0.0783,0.0046
101.300,0.1553,78.77,78.6944,0.2012,0.2000,0.0756,0.0012
101.300,0.2152,78.32,78.1468,0.2596,0.2629,0.1732,0.0033
101.300,0.2796,77.86,77.6805,0.3277,0.3253,0.1795,0.0024
101.300,0.3448,77.48,77.3169,0.3862,0.3845,0.1631,0.0017
101.300,0.4529,77.09,76.9170,0.4725,0.4772,0.1730,0.0047
101.300,0.4705,77.04,76.8734,0.4904,0.4920,0.1666,0.0016
101.300,0.5832,76.99,76.7281,0.5892,0.5858,0.2619,0.0034
101.300,0.5887,76.99,76.7268,0.5850,0.5904,0.2632,0.0054
101.300,0.6302,77.01,76.7342,0.6197,0.6255,0.2758,0.0058
101.300,0.6967,77.07,76.8110,0.6819,0.6830,0.2590,0.0011
101.300,0.7747,77.27,77.0098,0.7534,0.7539,0.2602,0.0005
101.300,0.8344,77.47,77.2483,0.7988,0.8119,0.2217,0.0131
101.300,0.8960,77.80,77.5849,0.8777,0.8762,0.2151,0.0015
101.300,0.9524,78.11,77.9856,0.9395,0.9406,0.1244,0.0011
101.300,1.0000,78.38,78.4039,1.0000,1.0000,0.0239,0.0000
