pressure_kPa,x_heptane,T_experiment_C,T_thermoformer_C,y_heptane_experiment,y_heptane_thermoformer,abs_temperature_error_C,abs_y_error,doi,quality_status
101.325,0.0,150.65,151.128931,0.0,0.0,0.478931,0.0,10.1016/j.fluid.2013.05.016,passed
101.325,0.03500000000000003,147.55,147.135522,0.10899999999999999,0.139939,0.414478,0.030939,10.1016/j.fluid.2013.05.016,passed
101.325,0.04300000000000004,146.85,146.266107,0.133,0.16841,0.583893,0.03541,10.1016/j.fluid.2013.05.016,passed
101.325,0.09799999999999998,142.35,140.698999,0.28,0.335257,1.651001,0.055257,10.1016/j.fluid.2013.05.016,passed
101.325,0.11699999999999999,140.75,138.930292,0.32499999999999996,0.382985,1.819708,0.057985,10.1016/j.fluid.2013.05.016,passed
101.325,0.17000000000000004,136.45,134.370844,0.43999999999999995,0.495319,2.079156,0.055319,10.1016/j.fluid.2013.05.016,passed
101.325,0.19799999999999995,134.35,132.165186,0.494,0.544491,2.184814,0.050491,10.1016/j.fluid.2013.05.016,passed
101.325,0.278,128.45,126.530054,0.625,0.656309,1.919946,0.031309,10.1016/j.fluid.2013.05.016,passed
101.325,0.359,123.05,121.672723,0.726,0.73842,1.377277,0.01242,10.1016/j.fluid.2013.05.016,passed
101.325,0.46599999999999997,117.15,116.279321,0.8240000000000001,0.816263,0.870679,0.007737,10.1016/j.fluid.2013.05.016,passed
101.325,0.5800000000000001,111.95,111.505243,0.883,0.8752,0.444757,0.0078,10.1016/j.fluid.2013.05.016,passed
101.325,0.633,109.15,109.549371,0.916,0.897032,0.399371,0.018968,10.1016/j.fluid.2013.05.016,passed
101.325,0.751,105.55,105.646265,0.95,0.937179,0.096265,0.012821,10.1016/j.fluid.2013.05.016,passed
101.325,0.837,102.55,103.10061,0.973,0.961296,0.55061,0.011704,10.1016/j.fluid.2013.05.016,passed
101.325,0.929,100.15,100.571252,0.99,0.98398,0.421252,0.00602,10.1016/j.fluid.2013.05.016,passed
101.325,1.0,98.25,98.713892,1.0,1.0,0.463892,0.0,10.1016/j.fluid.2013.05.016,passed
