case,quantity,unifac,thermoformer
extractive_butanol_water_toluene,alpha_base,1.4876,0.7179
extractive_butanol_water_toluene,alpha_ext,32.1596,2.3277
extractive_butanol_water_toluene,selectivity,21.6181,3.2423
extractive_butanol_water_toluene,alpha_avg,6.9167,1.2927
extractive_butanol_water_toluene,theoretical_stages,11,46
extractive_butanol_water_toluene,minimum_stages,3.54,26.671
extractive_butanol_water_toluene,reflux_ratio,0.286,8.47
extractive_butanol_water_toluene,minimum_reflux_ratio,0.204,6.05
extractive_butanol_water_toluene,feed_stage,5,21
extractive_butanol_water_toluene,entrainer_stage,2,2
extractive_butanol_water_toluene,condenser_temperature_K,381.06,396.45
extractive_butanol_water_toluene,reboiler_temperature_K,348.66,347.23
extractive_butanol_water_toluene,feed_temperature_K,378.48,384.3
binary_butanol_toluene,alpha,1.4876,0.7179
binary_butanol_toluene,N,24,4
binary_butanol_toluene,N_min,13.089,0.5
binary_butanol_toluene,R,5.028,0.07
binary_butanol_toluene,R_min,3.591,0.05
binary_butanol_toluene,feed_stage,11,2
binary_butanol_toluene,T_cond_K,381.06,396.45
binary_butanol_toluene,T_reb_K,385.97,385.68
