case,feed,quantity,unifac,thermoformer
1_binary_ipa_water,x_ipa=0.3,alpha,2.7134,1.9097
1_binary_ipa_water,x_ipa=0.3,N,19,28
1_binary_ipa_water,x_ipa=0.3,N_min,10.069,15.535
1_binary_ipa_water,x_ipa=0.3,R,2.694,5.083
1_binary_ipa_water,x_ipa=0.3,R_min,1.924,3.631
1_binary_ipa_water,x_ipa=0.3,feed_stage,9,13
1_binary_ipa_water,x_ipa=0.3,T_cond_K,355.26,387.22
1_binary_ipa_water,x_ipa=0.3,T_reb_K,367.46,400.22
1_binary_ipa_water,x_ipa=0.5,alpha,1.4623,1.2244
1_binary_ipa_water,x_ipa=0.5,N,42,77
1_binary_ipa_water,x_ipa=0.5,N_min,24.213,45.453
1_binary_ipa_water,x_ipa=0.5,R,5.983,12.341
1_binary_ipa_water,x_ipa=0.5,R_min,4.273,8.815
1_binary_ipa_water,x_ipa=0.5,feed_stage,19,35
1_binary_ipa_water,x_ipa=0.5,T_cond_K,355.26,387.22
1_binary_ipa_water,x_ipa=0.5,T_reb_K,362.99,396.95
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",alpha_base,2.1872,1.3446
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",alpha_ext,1.7611,0.8223
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",selectivity,0.8052,0.6116
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",alpha_avg,1.9626,1.0515
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",N,20,223
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",N_min,10.154,136.345
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",R,2.478,48.792
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",R_min,1.77,34.852
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",feed_stage,9,100
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",entrainer_stage,2,2
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",T_cond_K,351.08,361.62
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",T_reb_K,396.5,374.12
2_extractive_eac_npac_dmso,"0.5:0.5, S/F=2.0",T_feed_K,360.13,366.49
