entrainer_ratio,purity,recovery,alpha_base_u,alpha_ext_u,alpha_avg_u,alpha_base_t,alpha_ext_t,alpha_avg_t,sel_u,sel_t,N_u,N_t,Nmin_u,Nmin_t,R_u,R_t,Rmin_u,Rmin_t,feed_stage_u,feed_stage_t,ent_stage_u,ent_stage_t,Tcond_u,Tcond_t,Treb_u,Treb_t,Tfeed_u,Tfeed_t,N_ratio,dN,dTcond
0.5,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,17,193,8.774,117.811,2.478,48.792,1.77,34.852,8,87,2,2,351.08,361.62,382.8,374.68,360.13,366.49,11.353,176,10.54
1.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,18,206,9.387,126.046,2.478,48.792,1.77,34.852,8,93,2,2,351.08,361.62,388.03,373.74,360.13,366.49,11.444,188,10.54
1.5,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,19,216,9.82,131.854,2.478,48.792,1.77,34.852,9,97,2,2,351.08,361.62,392.49,373.83,360.13,366.49,11.368,197,10.54
2.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,20,223,10.154,136.345,2.478,48.792,1.77,34.852,9,100,2,2,351.08,361.62,396.5,374.12,360.13,366.49,11.15,203,10.54
3.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,21,234,10.657,143.1,2.478,48.792,1.77,34.852,9,105,2,2,351.08,361.62,403.43,374.75,360.13,366.49,11.143,213,10.54
4.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,21,242,11.032,148.135,2.478,48.792,1.77,34.852,9,109,2,2,351.08,361.62,409.14,375.28,360.13,366.49,11.524,221,10.54
6.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,22,254,11.58,155.49,2.478,48.792,1.77,34.852,10,114,2,2,351.08,361.62,417.95,376.04,360.13,366.49,11.545,232,10.54
8.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,23,263,11.979,160.849,2.478,48.792,1.77,34.852,10,118,2,2,351.08,361.62,424.38,376.55,360.13,366.49,11.435,240,10.54
10.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,23,270,12.293,165.067,2.478,48.792,1.77,34.852,10,121,2,2,351.08,361.62,429.26,376.9,360.13,366.49,11.739,247,10.54
15.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,25,282,12.872,172.837,2.478,48.792,1.77,34.852,11,127,2,2,351.08,361.62,437.49,377.43,360.13,366.49,11.28,257,10.54
20.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,25,291,13.287,178.412,2.478,48.792,1.77,34.852,11,131,2,2,351.08,361.62,442.58,377.73,360.13,366.49,11.64,266,10.54
30.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,26,304,13.877,186.331,2.478,48.792,1.77,34.852,12,137,2,2,351.08,361.62,448.54,378.06,360.13,366.49,11.692,278,10.54
50.0,0.95,0.9,2.1872,1.7611,1.9626,1.3446,0.8223,1.0515,0.8052,0.6116,28,321,14.625,196.379,2.478,48.792,1.77,34.852,13,144,2,2,351.08,361.62,454.06,378.34,360.13,366.49,11.464,293,10.54
