system,light,heavy,entrainer,alpha_base_u,alpha_ext_u,sel_u,alpha_base_t,alpha_ext_t,sel_t,sel_min,both_gt_1,N_u,N_t,R_u,R_t,nbp_light,nbp_heavy,nbp_ent
1-丁醇 / 水 / 甲苯,water,1-butanol,toluene,2.9567,39.5793,13.3864,0.9496,6.179,6.5069,6.5069,True,10,16,0.117,1.632,319.55,390.68,374.15
乙酸 / 水 / 二甲基亚砜,water,dimethyl sulfoxide,acetic acid,14.9632,523.8265,35.0076,0.4446,2.4933,5.6075,5.6075,True,7,217,0.07,47.512,319.55,463.7,390.94
乙酸 / 水 / 二甲基亚砜,acetic acid,dimethyl sulfoxide,water,6.271,39.7936,6.3457,0.2958,1.2412,4.196,4.196,True,10,4,0.07,0.07,390.94,463.7,319.55
1-丁醇 / 水 / 甲苯,toluene,1-butanol,water,1.4875,32.1566,21.6177,0.7179,2.3277,3.2423,3.2423,True,11,46,0.286,8.47,374.15,390.68,319.55
乙酸乙酯 / 乙酸正丙酯 / 二甲基亚砜,dimethyl sulfoxide,ethyl acetate,propyl acetate,0.0204,0.0576,2.8191,0.632,3.8844,6.1462,2.8191,True,4,28,0.07,4.306,463.7,350.15,374.37
乙酸 / 水 / 二甲基亚砜,water,acetic acid,dimethyl sulfoxide,2.0728,13.384,6.4569,0.7309,1.9839,2.7145,2.7145,True,11,62,0.451,12.204,319.55,390.94,463.7
乙酸乙酯 / 乙酸正丙酯 / 二甲基亚砜,dimethyl sulfoxide,propyl acetate,ethyl acetate,0.06,0.1352,2.2538,0.881,3.1352,3.5585,2.2538,True,4,25,0.07,3.667,463.7,374.37,350.15
乙腈 / 甲苯 / 四氢呋喃,acetonitrile,tetrahydrofuran,toluene,0.6127,1.3399,2.187,0.7858,1.8436,2.3462,2.187,True,4,62,0.07,12.238,354.56,339.13,374.15
乙醇 / 水 / 乙二醇,water,ethylene glycol,ethanol,36.4054,72.107,1.9807,2.4392,5.1725,2.1206,1.9807,True,8,13,0.07,0.847,319.55,469.86,351.47
乙腈 / 甲苯 / 四氢呋喃,toluene,tetrahydrofuran,acetonitrile,0.2403,0.357,1.4855,0.3716,0.8709,2.3435,1.4855,True,4,4,0.07,0.07,374.15,339.13,354.56
