T_exp_K,T_dwsim_K,x_acetic,x_water,x_dmso,y_acetic_exp,y_water_exp,y_dmso_exp,y_acetic_seed_0,y_water_seed_0,y_dmso_seed_0,y_acetic_seed_1,y_water_seed_1,y_dmso_seed_1,y_acetic_seed_2,y_water_seed_2,y_dmso_seed_2,y_acetic_seed_3,y_water_seed_3,y_dmso_seed_3,y_acetic_seed_4,y_water_seed_4,y_dmso_seed_4,y_acetic_dwsim,y_water_dwsim,y_dmso_dwsim
357.62,346.26,0.3164,0.2788,0.4048,0.1431,0.8069,0.05,0.2729,0.3698,0.3573,0.2694,0.3742,0.3564,0.1767,0.4408,0.3825,0.3269,0.3264,0.3467,0.2412,0.3708,0.3881,0.1835,0.8007,0.0159
363.7,350.17,0.3193,0.2376,0.4431,0.1523,0.7683,0.0794,0.2741,0.3016,0.4243,0.2742,0.3282,0.3976,0.1798,0.3818,0.4384,0.3282,0.2721,0.3997,0.2509,0.3393,0.4098,0.1938,0.7821,0.0241
362.15,351.54,0.3215,0.2238,0.4547,0.1712,0.7492,0.0796,0.2757,0.2793,0.445,0.2773,0.3121,0.4106,0.1816,0.3619,0.4565,0.3309,0.2539,0.4152,0.2553,0.3279,0.4169,0.1995,0.7731,0.0274
365.1,352.57,0.3237,0.2136,0.4627,0.181,0.7426,0.0764,0.2775,0.2629,0.4596,0.2802,0.2999,0.4199,0.1839,0.3466,0.4695,0.333,0.2405,0.4265,0.2594,0.3186,0.422,0.2049,0.765,0.0301
368.55,353.79,0.3213,0.2038,0.4749,0.1966,0.7269,0.0765,0.2718,0.2464,0.4819,0.2782,0.288,0.4338,0.1817,0.3305,0.4878,0.3271,0.228,0.445,0.2602,0.3103,0.4295,0.2055,0.7605,0.034
369.4,354.46,0.3237,0.1968,0.4795,0.2085,0.712,0.0795,0.2741,0.2356,0.4903,0.2812,0.2794,0.4394,0.184,0.3201,0.4959,0.3301,0.2188,0.4511,0.2638,0.3034,0.4328,0.2104,0.7537,0.0359
372.35,357.08,0.3241,0.1756,0.5003,0.2185,0.6796,0.1019,0.2696,0.2023,0.5281,0.2831,0.2527,0.4642,0.1842,0.2864,0.5294,0.327,0.1918,0.4812,0.2702,0.2828,0.447,0.2202,0.7347,0.0451
371.8,357.74,0.3248,0.1702,0.505,0.2272,0.6512,0.1216,0.2693,0.1941,0.5366,0.2842,0.2458,0.4699,0.1847,0.278,0.5373,0.3274,0.185,0.4876,0.2723,0.2772,0.4505,0.2236,0.7288,0.0476
373.21,361.33,0.3282,0.1454,0.5264,0.2298,0.5886,0.1816,0.2673,0.1579,0.5748,0.2898,0.2133,0.4968,0.1874,0.2384,0.5741,0.3283,0.1542,0.5174,0.2831,0.2496,0.4673,0.2444,0.6929,0.0627
373.8,360.65,0.3248,0.1492,0.526,0.243,0.599,0.158,0.2629,0.1628,0.5743,0.2858,0.2183,0.4958,0.1841,0.2438,0.572,0.3231,0.1589,0.518,0.2793,0.2546,0.4662,0.236,0.7038,0.0602
373.9,358.64,0.3237,0.166,0.5103,0.2088,0.633,0.1582,0.2663,0.1875,0.5463,0.2833,0.2404,0.4763,0.1836,0.2708,0.5456,0.3244,0.1797,0.4959,0.2729,0.273,0.4541,0.226,0.7226,0.0514
383.32,372.88,0.2641,0.1,0.6359,0.1813,0.4744,0.3443,0.1572,0.0861,0.7566,0.2245,0.149,0.6265,0.1257,0.1508,0.7235,0.2136,0.0974,0.689,0.2511,0.2021,0.5467,0.2022,0.629,0.1689
385.08,375.31,0.2612,0.088,0.6508,0.1869,0.4361,0.377,0.1496,0.0724,0.778,0.2221,0.1318,0.6462,0.1226,0.1316,0.7458,0.2064,0.084,0.7096,0.254,0.1842,0.5619,0.2089,0.5939,0.1972
386.52,374.48,0.2606,0.0926,0.6468,0.1824,0.4574,0.3602,0.1504,0.0772,0.7724,0.2212,0.1383,0.6405,0.1225,0.1385,0.739,0.2065,0.0889,0.7046,0.2515,0.1914,0.5571,0.204,0.6081,0.1879
387.84,379.14,0.2616,0.069,0.6694,0.2199,0.3612,0.4189,0.1436,0.0532,0.8031,0.2234,0.1042,0.6725,0.1218,0.1023,0.7759,0.2022,0.0639,0.734,0.2635,0.1522,0.5844,0.2295,0.525,0.2455
388.2,382.05,0.26270000000000004,0.055600000000000004,0.6817,0.2184,0.3123,0.4693,0.1403,0.041,0.8187,0.2252,0.0844,0.6904,0.1217,0.0821,0.7962,0.2004,0.0504,0.7493,0.2714,0.1274,0.6012,0.2487,0.4641,0.2872
391.92,385.07,0.2624000000000001,0.04320000000000001,0.6944,0.209,0.2619,0.5291,0.1356,0.0304,0.834,0.2254,0.0659,0.7087,0.1208,0.0633,0.8159,0.1964,0.0383,0.7654,0.2784,0.1027,0.6189,0.2679,0.3953,0.3369
