T_exp_K,T_dwsim_K,x_butanol,x_water,x_toluene,y_butanol_exp,y_water_exp,y_toluene_exp,y_butanol_tf,y_water_tf,y_toluene_tf,y_butanol_dwsim,y_water_dwsim,y_toluene_dwsim,max_err_tf,max_err_dwsim
376.91,379.09,0.6330,0.0220,0.3450,0.4220,0.1110,0.4670,0.3907,0.1611,0.4481,0.4583,0.0610,0.4807,0.0501,0.0500
377.28,379.46,0.6880,0.0270,0.2850,0.4350,0.1410,0.4240,0.4097,0.1775,0.4128,0.4868,0.0823,0.4309,0.0365,0.0587
384.81,384.36,0.9150,0.0290,0.0560,0.6980,0.1440,0.1580,0.6325,0.1634,0.2040,0.7162,0.1493,0.1345,0.0655,0.0235
379.13,381.10,0.8000,0.0300,0.1700,0.5080,0.1760,0.3160,0.4785,0.1723,0.3492,0.5706,0.1149,0.3144,0.0332,0.0626
377.80,380.04,0.7410,0.0300,0.2290,0.4660,0.1590,0.3750,0.4351,0.1820,0.3829,0.5207,0.1011,0.3782,0.0309,0.0579
381.06,381.92,0.8440,0.0330,0.1230,0.5590,0.1730,0.2680,0.5139,0.1809,0.3052,0.6124,0.1394,0.2482,0.0451,0.0534
378.06,379.76,0.7390,0.0350,0.2260,0.4830,0.1620,0.3550,0.4220,0.2052,0.3728,0.5145,0.1164,0.3691,0.0610,0.0456
378.37,380.02,0.8010,0.0500,0.1490,0.4960,0.2240,0.2800,0.4370,0.2545,0.3085,0.5485,0.1843,0.2672,0.0590,0.0525
379.25,380.74,0.8370,0.0500,0.1130,0.5090,0.2650,0.2260,0.4721,0.2513,0.2766,0.5821,0.2000,0.2180,0.0506,0.0731
368.81,377.11,0.3590,0.0570,0.5840,0.1680,0.4150,0.4170,0.1718,0.4087,0.4195,0.3273,0.1005,0.5723,0.0063,0.3145
370.42,377.44,0.6010,0.0600,0.3390,0.2750,0.3300,0.3950,0.2918,0.3387,0.3695,0.4202,0.1493,0.4304,0.0255,0.1807
