T_exp_K,P_kPa,x_butanol,x_water,x_toluene,y_butanol_exp,y_water_exp,y_toluene_exp,y_butanol_tf,y_water_tf,y_toluene_tf,tf_residual_kpa,T_dwsim_C,T_dwsim_K,y_butanol_dwsim,y_water_dwsim,y_toluene_dwsim,dwsim_file,max_err_tf,max_err_dwsim
376.91,101.3,0.633,0.022,0.345,0.422,0.111,0.467,0.4607,0.1347,0.4045,1.526e-05,105.94,379.09,0.4583,0.061,0.4807,bwt_x1_0p633_x2_0p022_3comp_bubble_105.9C.dwxmz,0.0625,0.05
377.28,101.3,0.688,0.027,0.285,0.435,0.141,0.424,0.4886,0.1546,0.3568,0.000e+00,106.31,379.46,0.4868,0.0823,0.4309,,0.0672,0.0587
384.81,101.3,0.915,0.029,0.056,0.698,0.144,0.158,0.7403,0.1565,0.1032,7.629e-06,111.21,384.36,0.7162,0.1493,0.1345,,0.0548,0.0235
379.13,101.3,0.8,0.03,0.17,0.508,0.176,0.316,0.5844,0.1622,0.2534,0.000e+00,107.95,381.1,0.5706,0.1149,0.3144,,0.0764,0.0626
377.8,101.3,0.741,0.03,0.229,0.466,0.159,0.375,0.5261,0.1647,0.3093,3.052e-05,106.89,380.04,0.5207,0.1011,0.3782,,0.0657,0.0579
381.06,101.3,0.844,0.033,0.123,0.559,0.173,0.268,0.6291,0.1737,0.1971,1.526e-05,108.77,381.92,0.6124,0.1394,0.2482,,0.0709,0.0534
378.06,101.3,0.739,0.035,0.226,0.483,0.162,0.355,0.5136,0.1855,0.3009,0.000e+00,106.61,379.76,0.5145,0.1164,0.3691,,0.0541,0.0456
378.37,101.3,0.801,0.05,0.149,0.496,0.224,0.28,0.5465,0.2377,0.2158,1.526e-05,106.87,380.02,0.5485,0.1843,0.2672,,0.0642,0.0525
379.25,101.3,0.837,0.05,0.113,0.509,0.265,0.226,0.5877,0.2373,0.175,0.000e+00,107.59,380.74,0.5821,0.2,0.218,,0.0787,0.0731
368.81,101.3,0.359,0.057,0.584,0.168,0.415,0.417,0.253,0.3192,0.4279,1.526e-05,103.96,377.11,0.3273,0.1005,0.5723,,0.0958,0.3145
370.42,101.3,0.601,0.06,0.339,0.275,0.33,0.395,0.371,0.2827,0.3462,1.526e-05,104.29,377.44,0.4202,0.1493,0.4304,bwt_x1_0p601_x2_0p060_3comp_bubble_104.3C.dwxmz,0.096,0.1807
381.7,101.3,0.918,0.063,0.019,0.641,0.296,0.063,0.6835,0.282,0.0344,0.000e+00,108.86,382.01,0.6583,0.2988,0.0428,,0.0425,0.0202
379.86,101.3,0.868,0.064,0.068,0.555,0.291,0.154,0.607,0.2819,0.111,1.526e-05,107.47,380.62,0.5962,0.2671,0.1367,,0.052,0.0412
380.9,101.3,0.899,0.064,0.037,0.587,0.309,0.104,0.6519,0.2837,0.0644,1.526e-05,108.25,381.4,0.632,0.2883,0.0797,,0.0649,0.045
368.37,101.3,0.452,0.064,0.484,0.219,0.362,0.419,0.2877,0.3179,0.3944,0.000e+00,103.77,376.92,0.3632,0.1267,0.5101,,0.0687,0.2353
379.09,101.3,0.867,0.065,0.068,0.523,0.319,0.158,0.6043,0.2849,0.1108,1.526e-05,107.38,380.53,0.5938,0.27,0.1362,,0.0813,0.0708
369.65,101.3,0.524,0.07,0.406,0.222,0.388,0.39,0.3164,0.3203,0.3633,1.526e-05,103.69,376.84,0.3858,0.1527,0.4614,,0.0944,0.2353
366.9,101.3,0.472,0.071,0.457,0.212,0.389,0.399,0.2894,0.3322,0.3783,1.526e-05,103.59,376.74,0.3677,0.1436,0.4888,,0.0774,0.2454
372.41,101.3,0.71,0.076,0.214,0.292,0.381,0.327,0.4275,0.3148,0.2577,0.000e+00,104.44,377.59,0.4626,0.2231,0.3143,,0.1355,0.1706
375.73,101.3,0.817,0.091,0.092,0.391,0.414,0.195,0.5156,0.3488,0.1356,1.526e-05,105.04,378.19,0.5192,0.3209,0.1599,,0.1246,0.1282
372.23,101.3,0.776,0.103,0.121,0.334,0.444,0.222,0.4631,0.3719,0.165,1.526e-05,103.95,377.1,0.4804,0.3276,0.1919,,0.1291,0.1464
368.76,101.3,0.621,0.115,0.264,0.23,0.445,0.325,0.3344,0.3954,0.2703,1.526e-05,102.51,375.66,0.4,0.2756,0.3244,bwt_x1_0p621_x2_0p115_3comp_bubble_102.5C.dwxmz,0.1044,0.17
376.64,101.3,0.858,0.127,0.015,0.476,0.48,0.044,0.5495,0.4255,0.025,0.000e+00,103.93,377.08,0.5165,0.4567,0.0268,,0.0735,0.0405
369.17,101.3,0.718,0.13,0.152,0.265,0.498,0.237,0.3965,0.4154,0.1882,0.000e+00,102.38,375.53,0.4307,0.3574,0.2119,,0.1315,0.1657
374.76,101.3,0.836,0.139,0.025,0.413,0.519,0.068,0.5176,0.4421,0.0403,1.526e-05,103.08,376.23,0.4899,0.4679,0.0422,,0.1046,0.0769
369.87,101.3,0.754,0.163,0.083,0.321,0.518,0.161,0.4216,0.4627,0.1157,1.526e-05,101.38,374.53,0.4269,0.4549,0.1182,,0.1006,0.1059
372.61,101.3,0.799,0.17,0.031,0.378,0.548,0.074,0.4711,0.4804,0.0485,1.526e-05,101.43,374.58,0.4446,0.5081,0.0472,,0.0931,0.0666
367.93,101.3,0.775,0.177,0.048,0.293,0.602,0.105,0.4436,0.4844,0.0721,0.000e+00,100.99,374.14,0.4282,0.5022,0.0697,,0.1506,0.1352
