T_K,n_tielines,x_butanol_organic,x_water_organic,x_butanol_aqueous,x_water_aqueous,doi
298.15,3,0.4869,0.5131,0.0188,0.9812,10.1016/j.jct.2015.11.002;10.1016/j.jct.2016.06.010
303.15,4,0.49,0.51,0.0178,0.9822,10.1016/j.fluid.2004.12.004;10.1016/j.fluid.2017.12.023;10.1016/j.jct.2018.03.024
303.2,2,0.489,0.511,0.022,0.978,10.1021/je5007218
308.15,3,0.522,0.478,0.018,0.982,10.1016/j.jct.2012.04.017
313.15,4,0.484,0.516,0.019,0.981,10.1016/j.jct.2014.07.021;10.1021/je400501z
318.15,1,0.469,0.531,0.021,0.979,10.1016/j.fluid.2019.04.020
323.15,1,0.4574,0.5426,0.0167,0.9833,10.1021/je700411p
323.2,2,0.457,0.543,0.018,0.982,10.1021/je5007218
328.15,2,0.434,0.566,0.02,0.98,10.1016/j.jct.2019.03.001
333.15,1,0.4387,0.5613,0.0162,0.9838,10.1021/je700411p
343.15,1,0.4189,0.5811,0.0172,0.9828,10.1021/je700411p
343.2,2,0.419,0.581,0.016,0.984,10.1021/je5007218
353.15,1,0.3965,0.6035,0.0181,0.9819,10.1021/je700411p
362.45,1,0.3673,0.6327,0.0187,0.9813,10.1021/je700411p
365.85,3,0.362,0.638,0.021,0.979,10.1016/j.jct.2014.07.021
