pressure_kPa,x_acetic_acid,x_water,T_experiment_K,T_thermoformer_K,T_dwsim_K,y_acetic_acid_experiment,y_water_experiment,y_dmso_experiment,y_acetic_acid_thermoformer,y_water_thermoformer,y_dmso_thermoformer,y_acetic_acid_dwsim,y_water_dwsim,y_dmso_dwsim,file
13.33,0.3164,0.2788,357.62,n/a,346.26,0.1431,0.8069,0.05,0.1767,0.4408,0.3825,0.1835,0.8007,0.0159,aw_dmso_x0p316_x0p279_3comp_bubble_84.5C.dwxmz
13.33,0.3193,0.2376,363.7,n/a,350.17,0.1523,0.7683,0.0794,0.1798,0.3818,0.4384,0.1938,0.7821,0.0241,
13.33,0.3215,0.2238,362.15,n/a,351.54,0.1712,0.7492,0.0796,0.1816,0.3619,0.4565,0.1995,0.7731,0.0274,
13.33,0.3237,0.2136,365.1,n/a,352.57,0.181,0.7426,0.0764,0.1839,0.3466,0.4695,0.2049,0.765,0.0301,
13.33,0.3213,0.2038,368.55,n/a,353.79,0.1966,0.7269,0.0765,0.1817,0.3305,0.4878,0.2055,0.7605,0.034,aw_dmso_x0p321_x0p204_3comp_bubble_95.4C.dwxmz
13.33,0.3237,0.1968,369.4,n/a,354.46,0.2085,0.712,0.0795,0.184,0.3201,0.4959,0.2104,0.7537,0.0359,
13.33,0.3241,0.1756,372.35,n/a,357.08,0.2185,0.6796,0.1019,0.1842,0.2864,0.5294,0.2202,0.7347,0.0451,
13.33,0.3248,0.1702,371.8,n/a,357.74,0.2272,0.6512,0.1216,0.1847,0.278,0.5373,0.2236,0.7288,0.0476,
13.33,0.3282,0.1454,373.21,n/a,361.33,0.2298,0.5886,0.1816,0.1874,0.2384,0.5741,0.2444,0.6929,0.0627,
13.33,0.3248,0.1492,373.8,n/a,360.65,0.243,0.599,0.158,0.1841,0.2438,0.572,0.236,0.7038,0.0602,
13.33,0.3237,0.166,373.9,n/a,358.64,0.2088,0.633,0.1582,0.1836,0.2708,0.5456,0.226,0.7226,0.0514,aw_dmso_x0p324_x0p166_3comp_bubble_100.8C.dwxmz
13.33,0.2641,0.1,383.32,n/a,372.88,0.1813,0.4744,0.3443,0.1257,0.1508,0.7235,0.2022,0.629,0.1689,
13.33,0.2612,0.088,385.08,n/a,375.31,0.1869,0.4361,0.377,0.1226,0.1316,0.7458,0.2089,0.5939,0.1972,
13.33,0.2606,0.0926,386.52,n/a,374.48,0.1824,0.4574,0.3602,0.1225,0.1385,0.739,0.204,0.6081,0.1879,aw_dmso_x0p261_x0p093_3comp_bubble_113.4C.dwxmz
13.33,0.2616,0.069,387.84,n/a,379.14,0.2199,0.3612,0.4189,0.1218,0.1023,0.7759,0.2295,0.525,0.2455,
13.33,0.26270000000000004,0.055600000000000004,388.2,n/a,382.05,0.2184,0.3123,0.4693,0.1217,0.0821,0.7962,0.2487,0.4641,0.2872,
13.33,0.2624000000000001,0.04320000000000001,391.92,n/a,385.07,0.209,0.2619,0.5291,0.1208,0.0633,0.8159,0.2679,0.3953,0.3369,aw_dmso_x0p262_x0p043_3comp_bubble_118.8C.dwxmz
